data,Name,Game,X,Y,V5,V6,V7,V8,V9,First_Position,Second_Position,Third_Position,Fourth_Position,Fifth_Position
11,Laurent KOSCIELNY,14.08.16 Arsenal v Crystal Palace,-16.87149456,8.151188384,76.6412618,66.88203595,34.89035671,28.43060144,16.06892786,Central Left Defender,Central Defender,Holding Midfielder,Left Centre Midfielder,Central Right Defender
12,Mathieu DEBUCHY,14.08.16 Arsenal v Crystal Palace,-0.689591299,-21.8088507,77.39500039,50.47348639,23.48498068,22.766839,17.82083695,Advanced Right Back,Right Centre Midfielder,Central Right Defender,Right Wing,Holding Midfielder
13,Mile JEDINAK,14.08.16 Arsenal v Crystal Palace,-5.497996452,-0.639061608,83.17108287,32.52736129,23.93058704,22.75372422,3.683249426,Holding Midfielder,Left Centre Midfielder,Right Centre Midfielder,Central Defender,Supporting Attacker
14,Julian SPERONI,14.08.16 Arsenal v Crystal Palace,-40.39519182,-1.241597439,54.75385151,43.77537892,41.66802187,17.16261255,4.377774518,Central Defender,Central Right Defender,Central Left Defender,Holding Midfielder,Left Centre Midfielder
15,Kieran GIBBS,14.08.16 Arsenal v Crystal Palace,4.995238853,22.56363734,78.88326271,47.21266407,45.42104798,10.31770852,3.292426969,Advanced Left Back,Left Wing,Left Centre Midfielder,Left Centre Forward,Supporting Attacker
16,Yaya SANOGO,14.08.16 Arsenal v Crystal Palace,14.68542347,-2.474621383,81.90347361,56.84259253,37.73033163,23.93052118,0.15388716,Supporting Attacker,Right Centre Forward,Left Centre Forward,Right Centre Midfielder,Left Centre Midfielder
17,Brede HANGELAND,14.08.16 Arsenal v Crystal Palace,-16.98223042,2.048311015,85.82348166,50.98678395,39.9948655,34.87478048,17.94486267,Central Defender,Central Left Defender,Holding Midfielder,Central Right Defender,Left Centre Midfielder
18,Santi CAZORLA,14.08.16 Arsenal v Crystal Palace,6.115995061,2.658387969,60.3072583,55.80778238,45.27255552,23.40542283,13.90340421,Supporting Attacker,Left Centre Midfielder,Holding Midfielder,Right Centre Midfielder,Left Centre Forward
19,Joe LEDLEY,14.08.16 Arsenal v Crystal Palace,-1.086556193,9.567143349,84.71896902,46.90210815,19.84567577,15.86084998,13.46095224,Left Centre Midfielder,Holding Midfielder,Supporting Attacker,Advanced Left Back,Central Left Defender
20,Scott DANN,14.08.16 Arsenal v Crystal Palace,-15.28982277,-10.02142109,79.72473331,55.59447624,36.71545085,19.14940113,1.099995082,Central Right Defender,Central Defender,Holding Midfielder,Right Centre Midfielder,Advanced Right Back
21,Martin KELLY,14.08.16 Arsenal v Crystal Palace,-3.963704875,1.105612488,85.04747935,48.2698137,26.57016567,19.1472368,16.66576482,Holding Midfielder,Left Centre Midfielder,Right Centre Midfielder,Central Defender,Supporting Attacker
22,Jason PUNCHEON,14.08.16 Arsenal v Crystal Palace,8.166046457,-7.620900779,74.46046653,56.38150765,34.2391547,30.56275302,4.55441662,Right Centre Midfielder,Supporting Attacker,Holding Midfielder,Right Centre Forward,Left Centre Midfielder
23,Nacho MONREAL,14.08.16 Arsenal v Crystal Palace,-4.124894265,19.73000938,62.98022922,51.68900082,38.68857924,16.05706891,10.77627036,Advanced Left Back,Left Centre Midfielder,Central Left Defender,Holding Midfielder,Left Wing
24,Olivier GIROUD,14.08.16 Arsenal v Crystal Palace,14.24991992,1.610173445,82.77976232,52.9741085,38.90477883,15.70317566,7.934060872,Supporting Attacker,Left Centre Forward,Right Centre Forward,Left Centre Midfielder,Right Centre Midfielder
25,Alex OXLADE-CHAMBERLAIN,14.08.16 Arsenal v Crystal Palace,12.45412232,-11.47221629,56.00687877,45.03319643,40.65686645,28.08112326,2.298391488,Right Centre Midfielder,Right Centre Forward,Supporting Attacker,Right Wing,Holding Midfielder
26,Damien DELANEY,14.08.16 Arsenal v Crystal Palace,-19.6821845,11.83172371,90.3612772,54.45458634,17.55562205,16.72323304,1.392196739,Central Left Defender,Central Defender,Holding Midfielder,Left Centre Midfielder,Central Right Defender
27,Dwight GAYLE,14.08.16 Arsenal v Crystal Palace,12.04298526,9.984336609,49.97353944,46.16273066,43.31095994,22.96066824,0.389777544,Left Centre Forward,Left Centre Midfielder,Supporting Attacker,Left Wing,Holding Midfielder
28,Stuart O'KEEFE,14.08.16 Arsenal v Crystal Palace,0.458428571,0.268714286,83.84751775,56.89246961,45.32781217,43.97022244,4.296982835,Holding Midfielder,Left Centre Midfielder,Right Centre Midfielder,Supporting Attacker,Central Defender
29,Romelu LUKAKU,14.08.16 Leicester City v Everton,17.29060328,-2.753320654,74.04249727,72.22560591,50.64788113,23.95375773,2.425612136,Right Centre Forward,Supporting Attacker,Left Centre Forward,Right Centre Midfielder,Left Centre Midfielder
30,Steven NAISMITH,14.08.16 Leicester City v Everton,7.272118624,1.113592901,66.51149065,38.54467988,35.51840782,23.12531222,8.142958179,Supporting Attacker,Left Centre Midfielder,Holding Midfielder,Right Centre Midfielder,Left Centre Forward
31,Steven PIENAAR,14.08.16 Leicester City v Everton,12.6075007,16.13675841,62.15779309,45.71129772,45.62091929,34.63719737,28.02314915,Left Wing,Left Centre Forward,Left Centre Midfielder,Advanced Left Back,Supporting Attacker
32,Phil JAGIELKA,14.08.16 Leicester City v Everton,-16.81103521,2.095326028,85.09069064,50.83561695,40.32421965,34.3084421,18.25136119,Central Defender,Central Left Defender,Holding Midfielder,Central Right Defender,Left Centre Midfielder
33,Sylvain DISTIN,14.08.16 Leicester City v Everton,-16.97159525,15.03326961,93.67442787,47.00839838,31.6139634,24.77173195,23.46618579,Central Left Defender,Central Defender,Left Centre Midfielder,Holding Midfielder,Advanced Left Back
34,Gareth BARRY,14.08.16 Leicester City v Everton,-4.859938584,5.434551546,60.7620133,57.23874714,14.10046128,12.25495536,1.989204883,Holding Midfielder,Left Centre Midfielder,Central Defender,Central Left Defender,Supporting Attacker
35,Wes MORGAN,14.08.16 Leicester City v Everton,-14.83385425,0.409762222,77.76685931,43.67424683,35.8645266,32.91950302,13.86561729,Central Defender,Holding Midfielder,Central Left Defender,Central Right Defender,Left Centre Midfielder
36,Paul KONCHESKY,14.08.16 Leicester City v Everton,-6.121834555,23.26006698,67.43485695,42.9634329,39.93667679,10.15944688,7.873917795,Advanced Left Back,Central Left Defender,Left Centre Midfielder,Left Wing,Holding Midfielder
37,Jose ULLOA,14.08.16 Leicester City v Everton,10.42232562,-0.241863549,85.73915035,7.813488799,5.956658301,5.664778463,2.820366804,Supporting Attacker,Right Centre Midfielder,Left Centre Forward,Right Centre Forward,Left Centre Midfielder
38,Leighton BAINES,14.08.16 Leicester City v Everton,1.517346748,23.77510263,87.90784375,43.50970161,35.20962464,13.58972319,1.071268175,Advanced Left Back,Left Centre Midfielder,Left Wing,Central Left Defender,Holding Midfielder
39,Ritchie DE LAET,14.08.16 Leicester City v Everton,-2.643787662,-18.10331058,57.3781597,55.25160482,30.63963675,27.58724206,5.549119732,Advanced Right Back,Right Centre Midfielder,Central Right Defender,Holding Midfielder,Right Wing
40,Riyad MAHREZ,14.08.16 Leicester City v Everton,11.93486456,-10.58579353,60.09740631,46.78476325,46.19629592,24.41676003,9.557582615,Right Centre Midfielder,Supporting Attacker,Right Centre Forward,Right Wing,Holding Midfielder
41,James MCCARTHY,14.08.16 Leicester City v Everton,-0.38420845,-5.812316209,75.8280471,66.53469717,32.04292541,24.42101413,2.956110727,Holding Midfielder,Right Centre Midfielder,Supporting Attacker,Left Centre Midfielder,Central Right Defender
42,Tim HOWARD,14.08.16 Leicester City v Everton,-41.69173252,-0.430295508,53.44136396,42.24925649,42.10986222,16.91310208,5.005713184,Central Defender,Central Right Defender,Central Left Defender,Holding Midfielder,Left Centre Midfielder
43,Liam MOORE,14.08.16 Leicester City v Everton,-19.96007573,10.34260339,85.35021855,61.70087981,23.21703612,19.51442782,10.69321957,Central Left Defender,Central Defender,Holding Midfielder,Left Centre Midfielder,Central Right Defender
44,David NUGENT,14.08.16 Leicester City v Everton,14.36359228,-0.899144715,87.2818628,49.120598,42.7701721,17.65503776,5.694136159,Supporting Attacker,Right Centre Forward,Left Centre Forward,Right Centre Midfielder,Left Centre Midfielder
45,Daniel DRINKWATER,14.08.16 Leicester City v Everton,2.971264131,-1.251723799,71.58967958,51.68325048,51.05361197,45.46263736,2.371183459,Holding Midfielder,Supporting Attacker,Right Centre Midfielder,Left Centre Midfielder,Right Centre Forward
46,Andy KING,14.08.16 Leicester City v Everton,2.742640597,-3.078669986,72.87845722,62.13594344,51.42765463,39.2414934,8.043325755,Holding Midfielder,Right Centre Midfielder,Supporting Attacker,Left Centre Midfielder,Right Centre Forward
47,Kasper SCHMEICHEL,14.08.16 Leicester City v Everton,-40.09709278,-1.045191901,55.17930169,43.81308016,42.1303695,17.35743767,4.589112778,Central Defender,Central Right Defender,Central Left Defender,Holding Midfielder,Left Centre Midfielder
48,Aiden MCGEADY,14.08.16 Leicester City v Everton,14.94693308,-11.73716256,58.04675836,46.22640942,41.63533899,38.85216024,3.516092877,Right Centre Forward,Right Centre Midfielder,Supporting Attacker,Right Wing,Left Centre Forward
49,John STONES,14.08.16 Leicester City v Everton,-15.32443491,-14.68257102,90.1803355,47.6230759,36.33575349,30.48893021,26.99560295,Central Right Defender,Central Defender,Holding Midfielder,Right Centre Midfielder,Advanced Right Back
50,Antony KNOCKAERT,14.08.16 Leicester City v Everton,11.45328861,-0.455703668,94.27925261,19.6328883,17.90573547,11.78979414,3.713890094,Supporting Attacker,Right Centre Forward,Left Centre Forward,Right Centre Midfielder,Left Centre Midfielder
51,Dean HAMMOND,14.08.16 Leicester City v Everton,-2.847023555,2.976911135,77.07987137,58.72387151,20.25646436,19.54125442,10.89148192,Holding Midfielder,Left Centre Midfielder,Right Centre Midfielder,Supporting Attacker,Central Defender
52,Jeffrey SCHLUPP,14.08.16 Leicester City v Everton,4.913531154,19.2219355,62.58111922,52.59295812,37.15168946,7.692679973,3.938925729,Advanced Left Back,Left Centre Midfielder,Left Wing,Left Centre Forward,Supporting Attacker
53,Chris WOOD,14.08.16 Leicester City v Everton,10.96642857,1.663214286,81.69080014,22.38458046,16.05236505,7.567446535,0.539225404,Supporting Attacker,Left Centre Forward,Left Centre Midfielder,Right Centre Forward,Holding Midfielder
54,Kevin MIRALLAS,14.08.16 Leicester City v Everton,14.64834374,12.58492147,56.88696322,45.16819289,34.52500819,32.88685841,3.733333555,Left Centre Forward,Left Wing,Left Centre Midfielder,Supporting Attacker,Advanced Left Back
55,Seamus COLEMAN,14.08.16 Leicester City v Everton,3.815125546,-23.18285387,83.72037574,47.7677366,39.29716133,6.265336751,1.797728333,Advanced Right Back,Right Centre Midfielder,Right Wing,Holding Midfielder,Central Right Defender
56,Wilfried BONY,14.08.16 Manchester United v Swansea City,10.00993266,-2.293077851,79.61170303,28.40746635,15.76882021,10.27462637,1.587144624,Supporting Attacker,Right Centre Midfielder,Right Centre Forward,Holding Midfielder,Left Centre Forward
57,Gylfi SIGURDSSON,14.08.16 Manchester United v Swansea City,9.510819249,-1.488820509,78.75960726,23.67002706,12.07550886,8.317439788,4.611649436,Supporting Attacker,Right Centre Midfielder,Holding Midfielder,Right Centre Forward,Left Centre Midfielder
58,Jonjo SHELVEY,14.08.16 Manchester United v Swansea City,0.809615622,1.049572358,79.91809945,59.82164339,43.85257403,40.87718594,0.147112554,Holding Midfielder,Left Centre Midfielder,Supporting Attacker,Right Centre Midfielder,Left Centre Forward
59,Angel RANGEL,14.08.16 Manchester United v Swansea City,-5.378010242,-23.7334205,70.91546851,42.1147263,40.60241184,18.49196942,13.50969474,Advanced Right Back,Central Right Defender,Right Centre Midfielder,Holding Midfielder,Right Wing
60,Jordi AMAT,14.08.16 Manchester United v Swansea City,-16.62865757,-1.904232082,84.3703772,46.06757175,37.8191298,29.05292582,4.273403937,Central Defender,Central Right Defender,Holding Midfielder,Central Left Defender,Left Centre Midfielder
61,Ashley WILLIAMS,14.08.16 Manchester United v Swansea City,-19.93678039,10.45463182,85.71791922,61.17251894,22.81619923,19.32436387,10.01006309,Central Left Defender,Central Defender,Holding Midfielder,Left Centre Midfielder,Central Right Defender
62,Neil TAYLOR,14.08.16 Manchester United v Swansea City,-5.011696588,23.11657022,71.35750968,43.31682007,40.89497884,15.67518997,10.40478716,Advanced Left Back,Left Centre Midfielder,Central Left Defender,Left Wing,Holding Midfielder
63,Lukasz FABIANSKI,14.08.16 Manchester United v Swansea City,-42.47514635,-1.524459819,52.25029685,42.56868649,40.15292409,16.24838679,3.97773729,Central Defender,Central Right Defender,Central Left Defender,Holding Midfielder,Left Centre Midfielder
64,Sung-Yueng KI,14.08.16 Manchester United v Swansea City,-3.703534501,-0.580085854,92.54356054,42.36148076,34.84772831,19.17562343,18.80809632,Holding Midfielder,Left Centre Midfielder,Right Centre Midfielder,Supporting Attacker,Central Defender
65,Chris SMALLING,14.08.16 Manchester United v Swansea City,-12.10210565,-8.134595585,63.53490378,52.3751965,49.42589749,28.02405124,3.260070968,Central Right Defender,Central Defender,Holding Midfielder,Right Centre Midfielder,Left Centre Midfielder
66,Ander HERRERA,14.08.16 Manchester United v Swansea City,5.478195935,-5.930981155,75.63892125,55.73182791,53.17042324,20.65731416,20.07386512,Right Centre Midfielder,Supporting Attacker,Holding Midfielder,Left Centre Midfielder,Right Centre Forward
67,Phil JONES,14.08.16 Manchester United v Swansea City,-11.21457348,-8.453904196,60.61489765,50.41486811,47.37543906,30.2557823,2.076689144,Central Right Defender,Holding Midfielder,Central Defender,Right Centre Midfielder,Left Centre Midfielder
68,Tyler BLACKETT,14.08.16 Manchester United v Swansea City,-13.15656367,18.48925997,78.02172932,45.51903907,43.66621122,37.57240157,28.67684379,Central Left Defender,Advanced Left Back,Left Centre Midfielder,Central Defender,Holding Midfielder
69,Darren FLETCHER,14.08.16 Manchester United v Swansea City,-2.476207063,-4.807270077,81.3838003,50.65334717,18.85657115,15.61587245,1.696196091,Holding Midfielder,Right Centre Midfielder,Left Centre Midfielder,Supporting Attacker,Central Defender
70,Ashley YOUNG,14.08.16 Manchester United v Swansea City,14.81558352,22.51135746,88.39988566,53.7165924,41.89569478,37.37639001,21.1275845,Left Wing,Advanced Left Back,Left Centre Forward,Left Centre Midfielder,Supporting Attacker
71,Juan Manuel MATA,14.08.16 Manchester United v Swansea City,10.10882853,-9.297764675,69.07279139,52.34879469,39.63912515,21.5064567,13.91424954,Right Centre Midfielder,Supporting Attacker,Right Centre Forward,Holding Midfielder,Right Wing
72,Wayne ROONEY,14.08.16 Manchester United v Swansea City,8.727321115,4.184863828,63.58011989,48.44557119,25.07050073,22.36736911,4.85412931,Supporting Attacker,Left Centre Midfielder,Left Centre Forward,Holding Midfielder,Right Centre Midfielder
73,Wayne ROUTLEDGE,14.08.16 Manchester United v Swansea City,12.16999413,0.483926339,93.10927092,30.04129032,24.51304104,9.809216533,8.61789288,Supporting Attacker,Left Centre Forward,Right Centre Forward,Left Centre Midfielder,Right Centre Midfielder
74,David DE GEA,14.08.16 Manchester United v Swansea City,-43.69239361,-1.478181067,50.9475581,41.71794335,39.57857121,15.82226664,3.94243641,Central Defender,Central Right Defender,Central Left Defender,Holding Midfielder,Left Centre Midfielder
75,Nathan DYER,14.08.16 Manchester United v Swansea City,10.38841491,-17.14426783,56.23162806,50.01167103,37.64439345,24.63184888,17.76321766,Right Centre Midfielder,Right Wing,Advanced Right Back,Right Centre Forward,Supporting Attacker
76,Adnan JANUZAJ,14.08.16 Manchester United v Swansea City,18.07529278,-3.408345417,79.74358862,68.11159082,50.024197,24.19606115,2.438302851,Right Centre Forward,Supporting Attacker,Left Centre Forward,Right Centre Midfielder,Right Wing
77,NANI,14.08.16 Manchester United v Swansea City,14.24475086,0.397345361,86.93118799,47.78212484,43.44396522,12.45663812,10.80562127,Supporting Attacker,Left Centre Forward,Right Centre Forward,Right Centre Midfielder,Left Centre Midfielder
78,Dwight TIENDALLI,14.08.16 Manchester United v Swansea City,-6.256894282,-17.44958659,50.87187631,50.31131478,49.4386778,34.35347222,12.58883116,Central Right Defender,Advanced Right Back,Right Centre Midfielder,Holding Midfielder,Central Defender
79,Marouane FELLAINI,14.08.16 Manchester United v Swansea City,6.03244174,-1.599631107,62.14874476,48.80310271,45.27409841,30.91680129,5.39578105,Supporting Attacker,Holding Midfielder,Right Centre Midfielder,Left Centre Midfielder,Right Centre Forward
80,Jefferson MONTERO,14.08.16 Manchester United v Swansea City,14.18920557,22.6217506,86.24956092,55.66178894,40.52992202,38.28466216,20.61612148,Left Wing,Advanced Left Back,Left Centre Forward,Left Centre Midfielder,Supporting Attacker
81,Bafetimbi GOMIS,14.08.16 Manchester United v Swansea City,9.861497429,-0.494106282,81.35354586,10.48921198,3.237494666,2.877668449,1.508268692,Supporting Attacker,Right Centre Midfielder,Holding Midfielder,Left Centre Midfielder,Right Centre Forward
82,Loic REMY,14.08.16 Queens Park Rangers v Hull City,17.35761561,0.024580654,74.1909303,63.79445561,63.47342196,15.89456799,10.45956329,Supporting Attacker,Left Centre Forward,Right Centre Forward,Right Centre Midfielder,Left Centre Midfielder
83,Charlie AUSTIN,14.08.16 Queens Park Rangers v Hull City,14.76909274,2.820801846,76.41318658,61.25455201,37.96795933,20.10600711,4.722001907,Supporting Attacker,Left Centre Forward,Right Centre Forward,Left Centre Midfielder,Right Centre Midfielder
84,Alejandro DAMIAN FAURLIN,14.08.16 Queens Park Rangers v Hull City,-1.515665205,0.162923977,91.46136644,55.44467862,43.95666675,36.95925736,16.70594099,Holding Midfielder,Left Centre Midfielder,Right Centre Midfielder,Supporting Attacker,Central Defender
85,Richard DUNNE,14.08.16 Queens Park Rangers v Hull City,-19.71962036,-7.356934572,74.75883033,73.7122622,33.48918026,21.4975634,11.1751067,Central Right Defender,Central Defender,Holding Midfielder,Central Left Defender,Right Centre Midfielder
86,Armand TRAORE,14.08.16 Queens Park Rangers v Hull City,-0.389942913,20.4524678,72.16012974,53.03020666,23.44684845,21.41361217,10.28265778,Advanced Left Back,Left Centre Midfielder,Left Wing,Central Left Defender,Holding Midfielder
87,Curtis DAVIES,14.08.16 Queens Park Rangers v Hull City,-17.83196269,8.620885261,79.40470578,66.60929635,31.83933006,25.91715894,15.59258618,Central Left Defender,Central Defender,Holding Midfielder,Left Centre Midfielder,Central Right Defender
88,Thomas INCE,14.08.16 Queens Park Rangers v Hull City,14.18871471,-8.085431928,60.0691795,56.59773941,43.74960628,12.10644387,11.52645118,Right Centre Forward,Supporting Attacker,Right Centre Midfielder,Right Wing,Left Centre Forward
89,Nikica JELAVIC,14.08.16 Queens Park Rangers v Hull City,13.75878456,1.74266832,83.51743155,49.73587811,34.63460978,16.3048482,6.588237654,Supporting Attacker,Left Centre Forward,Right Centre Forward,Left Centre Midfielder,Right Centre Midfielder
90,Alex BRUCE,14.08.16 Queens Park Rangers v Hull City,-19.61359477,-2.711579521,89.88057243,54.60708868,33.27470441,32.05198488,1.985151144,Central Defender,Central Right Defender,Central Left Defender,Holding Midfielder,Left Centre Midfielder
91,Rio FERDINAND,14.08.16 Queens Park Rangers v Hull City,-19.25989437,1.821649061,92.38635869,53.90455943,40.29896604,36.06175752,15.41148373,Central Defender,Central Left Defender,Central Right Defender,Holding Midfielder,Left Centre Midfielder
92,Steven CAULKER,14.08.16 Queens Park Rangers v Hull City,-13.52390173,-0.95469027,69.25945948,45.72829532,31.64245851,21.87014684,8.391014914,Central Defender,Holding Midfielder,Central Right Defender,Central Left Defender,Left Centre Midfielder
93,Danny SIMPSON,14.08.16 Queens Park Rangers v Hull City,-3.698630528,-22.50416099,73.68436434,46.89742494,38.52880456,22.23228749,18.23544468,Advanced Right Back,Right Centre Midfielder,Central Right Defender,Holding Midfielder,Right Wing
94,Joey BARTON,14.08.16 Queens Park Rangers v Hull City,-1.488537512,-1.501485933,95.14140135,48.12733103,45.79408199,33.91149287,12.25844729,Holding Midfielder,Right Centre Midfielder,Left Centre Midfielder,Supporting Attacker,Central Defender
95,Jordon MUTCH,14.08.16 Queens Park Rangers v Hull City,5.494890928,-2.4947689,59.98021816,54.11886473,53.62245244,30.60805339,8.678147948,Supporting Attacker,Holding Midfielder,Right Centre Midfielder,Left Centre Midfielder,Right Centre Forward
96,Jake LIVERMORE,14.08.16 Queens Park Rangers v Hull City,-1.250562998,-4.434014761,83.22294297,57.06381147,27.64443194,27.63188145,2.352123228,Holding Midfielder,Right Centre Midfielder,Left Centre Midfielder,Supporting Attacker,Central Defender
97,Tom HUDDLESTONE,14.08.16 Queens Park Rangers v Hull City,-3.699413717,0.472276559,88.8717439,48.04549308,32.14032165,20.79211278,20.51419493,Holding Midfielder,Left Centre Midfielder,Right Centre Midfielder,Supporting Attacker,Central Defender
98,Andrew ROBERTSON,14.08.16 Queens Park Rangers v Hull City,0.624190963,23.29103155,85.44528493,45.87956573,32.74429583,18.6403231,4.72677175,Advanced Left Back,Left Centre Midfielder,Left Wing,Central Left Defender,Holding Midfielder
99,Robert SNODGRASS,14.08.16 Queens Park Rangers v Hull City,0.757090909,18.08527273,59.5071497,59.00735418,17.29170271,9.828718142,9.596048785,Advanced Left Back,Left Centre Midfielder,Left Wing,Central Left Defender,Holding Midfielder
100,James CHESTER,14.08.16 Queens Park Rangers v Hull City,-11.08432203,-15.26280843,74.19893513,41.39311545,40.98265329,36.93989177,36.78784539,Central Right Defender,Right Centre Midfielder,Holding Midfielder,Central Defender,Advanced Right Back
101,Ahmed EL MOHAMADY,14.08.16 Queens Park Rangers v Hull City,2.944631288,-22.95782756,84.12799952,48.63684489,35.97278992,8.521293772,5.905223309,Advanced Right Back,Right Centre Midfielder,Right Wing,Holding Midfielder,Central Right Defender
102,Robert GREEN,14.08.16 Queens Park Rangers v Hull City,-40.87986264,-0.533240546,54.37035517,42.85677717,42.44551119,17.2085441,4.99637751,Central Defender,Central Right Defender,Central Left Defender,Holding Midfielder,Left Centre Midfielder
103,Allan MCGREGOR,14.08.16 Queens Park Rangers v Hull City,-41.90789924,-1.274467681,52.96491439,42.76687049,40.80343682,16.54782111,4.235761226,Central Defender,Central Right Defender,Central Left Defender,Holding Midfielder,Left Centre Midfielder
104,Stephen QUINN,14.08.16 Queens Park Rangers v Hull City,5.364801973,12.22888727,73.29553754,13.09436342,9.875780694,5.568037727,2.192783851,Left Centre Midfielder,Supporting Attacker,Advanced Left Back,Holding Midfielder,Left Centre Forward
105,Paul MCSHANE,14.08.16 Queens Park Rangers v Hull City,-13.45649613,10.07876951,73.53838245,51.20870068,36.733349,35.41720103,7.439830525,Central Left Defender,Central Defender,Left Centre Midfielder,Holding Midfielder,Advanced Left Back
106,Matthew PHILLIPS,14.08.16 Queens Park Rangers v Hull City,9.964713618,-13.69920089,63.4710206,26.69215352,23.60312766,23.20696872,13.00478297,Right Centre Midfielder,Right Wing,Supporting Attacker,Right Centre Forward,Advanced Right Back
107,David HOILETT,14.08.16 Queens Park Rangers v Hull City,12.98325449,11.67557782,52.85769028,43.10423504,37.72993137,37.04790108,4.329081122,Left Centre Forward,Left Centre Midfielder,Supporting Attacker,Left Wing,Advanced Left Back
108,Bobby ZAMORA,14.08.16 Queens Park Rangers v Hull City,14.5014868,-0.591237405,86.76502486,49.05209953,45.17455862,16.53695252,7.031022412,Supporting Attacker,Right Centre Forward,Left Centre Forward,Right Centre Midfielder,Left Centre Midfielder
109,David MEYLER,14.08.16 Queens Park Rangers v Hull City,2.67425685,-1.31692839,73.54982743,51.87592974,50.88017045,46.06882445,2.480805297,Holding Midfielder,Right Centre Midfielder,Supporting Attacker,Left Centre Midfielder,Right Centre Forward
110,Ashley WESTWOOD,14.08.16 Stoke City v Aston Villa,-3.048132384,-1.59345072,97.05823192,40.38364423,38.82892887,21.60031328,14.42846311,Holding Midfielder,Right Centre Midfielder,Left Centre Midfielder,Supporting Attacker,Central Defender
111,Gabriel AGBONLAHOR,14.08.16 Stoke City v Aston Villa,13.43860304,3.789482704,73.59110074,54.84779167,25.8507787,25.76840493,1.205303416,Supporting Attacker,Left Centre Forward,Left Centre Midfielder,Right Centre Forward,Holding Midfielder
112,Fabian DELPH,14.08.16 Stoke City v Aston Villa,1.969833867,7.387804937,90.60147073,49.27881878,33.38145985,6.969000259,4.106801529,Left Centre Midfielder,Holding Midfielder,Supporting Attacker,Right Centre Midfielder,Left Centre Forward
113,Aly CISSOKHO,14.08.16 Stoke City v Aston Villa,-0.220743434,24.72840487,89.07047692,43.43326072,33.20835793,23.546863,5.315479887,Advanced Left Back,Left Centre Midfielder,Left Wing,Central Left Defender,Holding Midfielder
114,Ron VLAAR,14.08.16 Stoke City v Aston Villa,-17.35071709,-1.483554183,88.46524145,46.46046,36.97439961,33.62624254,5.864329557,Central Defender,Central Right Defender,Holding Midfielder,Central Left Defender,Left Centre Midfielder
115,Philippe SENDEROS,14.08.16 Stoke City v Aston Villa,-21.64548689,-13.64290262,87.22479013,51.21977534,18.65879844,6.106909616,3.011970911,Central Right Defender,Central Defender,Holding Midfielder,Right Centre Midfielder,Advanced Right Back
116,Marc WILSON,14.08.16 Stoke City v Aston Villa,-14.34044074,16.45317719,84.29193893,43.2378947,41.65680454,37.21471186,30.29142765,Central Left Defender,Central Defender,Left Centre Midfielder,Advanced Left Back,Holding Midfielder
